date;latinName;englishName;class;color
01-23;S. Emerentianae, Virginis et Martyris;St. Emerentiana, Virgin & Martyr;IV. classis;red
01-24;S. Timothei Episcopi et Martyris;St. Timothy, Bishop & Martyr;III. classis;red
01-25;In Conversione S. Pauli Apostoli;Conversion of St. Paul, Apostle;III. classis;white
01-26;S. Polycarpi Episcopi et Martyris;St. Polycarp, Bishop & Martyr;III. classis;red
01-27;S. Joannis Chrysostomi Episcopi Confessoris et Ecclesiae Doctoris;St. John Chrysostom, Bishop, Confessor & Doctor of the Church;III. classis;white
01-28;S. Petri Nolasci Confessoris;St. Peter Nolasco, Confessor;III. classis;white
01-28;S. Agnetis Virginis Martyris secundo;St. Agnes, Virgin Martyr;IV. classis;red
01-29;S. Francisci Salesii Episcopi Confessoris et Ecclesiae Doctoris;St. Francis de Sales, Bishop, Confessor & Doctor of the Church;III. classis;white
01-30;S. Martinae Virginis et Martyris;St. Martina, Virgin & Martyr;III. classis;red
01-31;S. Joannis Bosco Confessoris;St. John Bosco, Confessor;III. classis;white
02-01;S. Ignatii Episcopi et Martyris;St. Ignatius, Bishop & Martyr;III. classis;red
02-02;In Purificatione Beatae Mariae Virginis;The Purification of the Blessed Virgin Mary;II. classis;white
02-03;S. Blasii Episcopi et Martyris;St. Blaise Bishop & Martyr;IV. classis;red
02-04;S. Andreae Corsini Episcopi et Confessoris;St. Andrew Corsini, Bishop & Confessor;III. classis;white
02-05;S. Agathae Virginis et Martyris;St. Agatha, Virgin & Martyr;III. classis;red
02-06;S. Titi Episcopi et Confessoris;St. Titus, Bishop & Confessor;III. classis;white
02-07;S. Romualdi Abbatis;St. Romuald, Abbot;III. classis;white
02-08;S. Joannis de Matha Confessoris;St. John of Matha, Confessor;III. classis;white
02-09;S. Cyrilli Episc. Alexandrini Confessoris et Ecclesiae Doctoris;St. Cyril, Bisop of Alexandria, Confessor & Doctor of the Church;III. classis;white
02-09;S. Apolloniae Virginis et Martyris;St. Apollonia, Virgin and Martyr;IV. classis;red
02-10;S. Scholasticae Virginis;St. Scholastica, Virgin;III. classis;white
02-11;In Apparitione Beatae Mariae Virginis Immaculatae;The Apparition of the Blessed Virgin Mary Immaculate;III. classis;white
02-12;Ss. Septem Fundatorum Ordinis Servorum B. M. V.;Seven Holy Founders of the Servile Order of the BVM, Confessors;III. classis;red
02-14;S. Valentini Presbyteri et Martyris;St. Valentine, Priest & Martyr;IV. classis;red
02-15;SS. Faustini et Jovitae Martyrum;Ss. Faustinus and Jovita, Martyrs;IV. classis;red
02-18;S. Simeonis Episcopi et Martyris;St. Simeon, Bishop & Martyr;IV. classis;red
02-19;S. Dorotheae, Virginis et Martyris;St. Dorothy, Virgin & Martyr;IV. classis;red
02-22;In Cathedra S. Petri Apostoli;The Chair of St. Peter, Apostle;II. classis;white
02-23;S. Petri Damiani Episcopi Confessoris et Ecclesiae Doctoris;St. Peter Damian, Bishop, Confessor & Doctor of the Church;III. classis;white
03-04;S. Casimiri Confessoris;St. Casimir, Confessor;IV. classis;white
03-06;Ss. Perpetuae et Felicitatis Martyrum;Ss. Perpetua and Felicity, Martyrs;IV. classis;red
03-07;S. Thomae de Aquino Confessoris et Ecclesiae Doctoris;St. Thomas Aquinas, Confessor & Doctor of the Church;III. classis;white
03-08;S. Joannis de Deo Confessoris;St. John of God, Confessor;IV. classis;white
03-09;S. Franciscae Romanae Viduae;St. Frances of Rome, Vidow;IV. classis;white
03-10;Ss. Quadraginta Martyrum;The Forty Holy Martyrs;IV. classis;red
03-12;S. Gregorii Papae Confessoris et Ecclesiae Doctoris;St. Gregory, Pope, Confessor & Doctor of the Church;IV. classis;white
03-17;S. Patricii Episcopi et Confessoris;St. Parick, Bishop & Martyr;IV. classis;white
03-18;S. Cyrilli Episcopi Hierosolymitani Confessoris et Ecclesiae Doctoris;St. Cyril, Bishop of Jerusalem, Confessor & Doctor of the Church;IV. classis;white
03-19;S. Joseph Sponsi B.M.V. Confessoris;St. Joseph, Spouse of the Blessed Virgin Mary, Confessor;I. classis;white
03-21;S. Benedicti Abbatis;St. Benedict, Abbot;IV. classis;white
03-24;S. Gabrielis Archangeli;St. Gabriel the Archangel;IV. classis;white
03-25;In Annuntiatione Beatae Mariae Virginis;Annuntiation of the Blessed Virgin Mary;I. classis;white
03-27;S. Joannis Damasceni Confessoris;St. John Damascene, Confessor;IV. classis;white
03-28;S. Joannis a Capistrano Confessoris;St. John a Capistrano, Confessor;IV. classis;white
04-02;S. Francisci de Paula Confessoris;St. Francis de Paul, Confessor;IV. classis;white
04-04;S. Isidori Episcopi Confessoris et Ecclesiae Doctoris;St. Isidorius, Bishop, Confessor & Doctor of the Church;IV. classis;white
04-05;S. Vincentii Ferrerii Confessoris;St. Vincent Ferrer, Confessor;IV. classis;white
04-11;S. Leonis I Papae Confessoris et Ecclesiae Doctoris;St. Leo I, Pope, Confessor & Doctor of the Church;III. classis;white
04-13;S. Hermenegildi Martyris;St. Hermenegild, Martyr;III. classis;red
04-14;S. Justini Martyris;St. Justyn, Martyr;III. classis;red
04-14;Ss. Tiburtii, Valeriani et Maximi, Martyrum;Ss. Tiburtius, Valerian and Maximus, Martyrs;IV. classis;red
04-17;S. Aniceti Papae et Martyris;St. Ancetus, Pope & Martyr;IV. classis;red
04-21;S. Anselmi Episcopi Confessoris et Ecclesiae Doctoris;St. Anselm, Bishop, Confessor & Doctor of the Church;III. classis;white
04-22;SS. Soteris et Caii Summorum Pontificum et Martyrum;Ss. Soter and Caius, Popes & Martyrs;III. classis;red
04-23;S. Georgii Martyris;St. Georgius, Martyr;IV. classis;red
04-24;S. Fidelis de Sigmaringa Martyris;St. Fidelis of Sigmaringen, Martyr;III. classis;red
04-25;S. Marci Evangelistae;St. Mark, Evangelist;II. classis;red
04-25;Major Litanies;The Greater Litanies;II. classis;purple
04-26;SS. Cleti et Marcellini Summorum Pontificum et Martyrum;Ss. Cletus and Marcellinus, Popes and Martyrs;III. classis;red
04-27;S. Petri Canisii Confessoris et Ecclesiae Doctoris;St. Peter Canisius, Doctor;III. classis;white
04-28;S. Pauli a Cruce Confessoris;St. Paul of the Cross, Confessor;III. classis;white
04-29;S. Petri Martyris;St. Peter, Martyr;III. classis;red
04-30;S. Catharinae Senensis Virginis;St. Catherine of Siena, Virgin;III. classis;white
05-01;S. Joseph Opificis;St. Joseph the Worksman;I. classis;white
05-02;S. Athanasii Episcopi Confessoris et Ecclesiae Doctoris;St. Athanasius, Bishop, Confessor & Doctor of the Church;III. classis;white
05-03;Ss. Alexandri et Sociorum Martyrum;Ss. Alexander and Companions, Martyrs;IV. classis;red
05-04;S. Monicae Viduae;St. Monica, Widow;III. classis;white
05-05;S. Pii V Papae et Confessoris;St. Pius V, Pope & Confessor;III. classis;white
05-07;S. Stanislai Episcopi et Martyris;St. Stanislaus, Bishop & Martyr;III. classis;red
05-09;S. Gregorii Nazianzeni Episcopi Confessoris et Ecclesiae Doctoris;St. Gregory of Nazianzus, Bishop, Confessor & Doctor of the Church;III. classis;white
05-10;S. Antonini Episcopi et Confessoris;St. Antonin, Bishop & Confessor;III. classis;white
05-10;Ss. Gordiani et Epimachi Martyrum;Ss. Gordian and Epimachus, Martyrs;IV. classis;red
05-11;Ss. Philippi et Jacobi Apostolorum;Ss. Philip and Jacob, Apostles;II. classis;red
05-12;Ss. Nerei, Achillei et Domitillae Virg. atque Pancratii Martyrum;Ss. Nereus, Achilleus and Domitilla, Virgins, and Pancratius Martyrs;III. classis;red
05-13;S. Roberti Bellarmino Episcopi Confessoris et Ecclesiae Doctoris;St. Robert Ballarmino, Bishop, Confessor & Doctor of the Church;III. classis;white
05-14;S. Bonifatii Martyris;St. Bonifatius, Martyr;IV. classis;red
05-15;S. Joannis Baptistae de la Salle Confessoris;St. John Baptist de la Salle, Confessor;III. classis;white
05-16;S. Ubaldi Episcopi et Confessoris;St. Ubald, Bishop & Confessor;III. classis;white
05-17;S. Paschalis Baylon Confessoris;St. Paschal Baylon, Confessor;III. classis;red
05-18;S. Venantii Martyris;St. Venantius, Martyr;III. classis;red
05-19;S. Petri Celestini Papae et Confessoris;St. Peter Celestine, Pope & Confessor;III. classis;white
05-19;S. Pudentianae Virginis;St. Pudentiana, Virgin;IV. classis;white
05-20;S. Bernardini Senensis Confessoris;St. Bernardino of Sienna, Confessor;III. classis;white
05-25;S. Gregorii VII Papae et Confessoris;St. Gregory VII, Pope & Confessor;III. classis;white
05-26;S. Philippi Neri Confessoris;St. Philip Neri, Confessor;III. classis;white
05-27;S. Bedae Venerabilis Confessoris et Ecclesiae Doctoris;St. Bede the Venerable, Confessor & Doctor of the Church;III. classis;white
